UID        PID  PPID  C STIME TTY          TIME CMD
root       611     2  0 15:47 ?        00:00:00 [led_workqueue]
root       744     2  0 15:47 ?        00:00:00 [jbd2/sdb1-8]
root       745     2  0 15:47 ?        00:00:00 [ext4-rsv-conver]
root       756     1  0 15:47 ?        00:00:00 upstart-socket-bridge --daemon
root       763     2  0 15:47 ?        00:00:00 [jbd2/sda2-8]
root       764     2  0 15:47 ?        00:00:00 [ext4-rsv-conver]
root       796     1  0 15:47 ?        00:00:00 /sbin/mount.ntfs /dev/sda4 /home/hengyang/Shared -o rw
root       811     1  0 15:47 ?        00:00:00 smbd -F
message+   861     1  0 15:47 ?        00:00:00 dbus-daemon --system --fork
root       883   811  0 15:47 ?        00:00:00 smbd -F
root       923     1  0 15:47 ?        00:00:00 /usr/sbin/ModemManager
root       925     1  0 15:47 ?        00:00:00 /usr/sbin/bluetoothd
root       935     1  0 15:47 ?        00:00:00 /lib/systemd/systemd-logind
root       943     2  0 15:47 ?        00:00:00 [krfcommd]
root       963     1  0 15:47 ?        00:00:00 NetworkManager
syslog     967     1  0 15:47 ?        00:00:00 rsyslogd
root       971     1  0 15:47 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
avahi      979     1  0 15:47 ?        00:00:00 avahi-daemon: running [hzhao-samsung.local]
avahi      981   979  0 15:47 ?        00:00:00 avahi-daemon: chroot helper
root       998     1  0 15:47 ?        00:00:00 upstart-file-bridge --daemon
root      1248     1  0 15:47 ?        00:00:00 /sbin/wpa_supplicant -B -P /run/sendsigs.omit.d/wpasupplicant.pid -u -s -O /var/run/wpa_supplicant
root      1252     1  0 15:47 tty4     00:00:00 /sbin/getty -8 38400 tty4
root      1254     1  0 15:47 tty5     00:00:00 /sbin/getty -8 38400 tty5
root      1262     1  0 15:47 tty2     00:00:00 /sbin/getty -8 38400 tty2
root      1263     1  0 15:47 tty3     00:00:00 /sbin/getty -8 38400 tty3
root      1267     1  0 15:47 tty6     00:00:00 /sbin/getty -8 38400 tty6
root      1308     1  0 15:47 ?        00:00:00 /usr/sbin/sshd -D
root      1326     1  0 15:47 ?        00:00:00 cron
daemon    1327     1  0 15:47 ?        00:00:00 atd
root      1377     1  0 15:47 ?        00:00:00 mdm
root      1379     1  0 15:47 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root      1405     1  0 15:47 ?        00:00:00 /usr/sbin/irqbalance
root      1427  1377  0 15:47 ?        00:00:00 mdm
root      1462  1427  3 15:47 tty8     00:00:04 /usr/bin/X :0 -audit 0 -auth /var/lib/mdm/:0.Xauth -nolisten tcp vt8
dictd     1482     1  0 15:47 ?        00:00:00 dictd 1.12.1: 0/0
root      1493     1  0 15:47 ?        00:00:00 /usr/sbin/cups-browsed
kernoops  1506     1  0 15:47 ?        00:00:00 /usr/sbin/kerneloops
mysql     1508     1  0 15:47 ?        00:00:00 /usr/sbin/mysqld
root      1554     2  0 15:47 ?        00:00:00 [iprt]
root      1631     1  0 15:47 ?        00:00:00 /opt/cisco/hostscan/bin/ciscod
root      1653     1  0 15:47 ?        00:00:01 /opt/cisco/anyconnect/bin/vpnagentd
root      1684     1  0 15:47 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1688  1684  0 15:47 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1689  1684  0 15:47 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1690  1684  0 15:47 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1691  1684  0 15:47 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1692  1684  0 15:47 ?        00:00:00 /usr/sbin/apache2 -k start
mdm       1710     1  0 15:47 ?        00:00:00 dbus-launch --autolaunch=3a47d883f61719e348dc4083540d25e2 --binary-syntax --close-stderr
mdm       1713     1  0 15:47 ?        00:00:00 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
root      1772     1  0 15:47 tty1     00:00:00 /sbin/getty -8 38400 tty1
root      1873     2  0 15:47 ?        00:00:00 [kauditd]
hengyang  1876     1  0 15:47 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
root      1881     1  0 15:47 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
hengyang  1952  1427  0 15:47 ?        00:00:00 x-session-manager
hengyang  2027  1952  0 15:47 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch x-session-manager
hengyang  2030     1  0 15:47 ?        00:00:00 /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch x-session-manager
hengyang  2031     1  0 15:47 ?        00:00:00 //bin/dbus-daemon --fork --print-pid 6 --print-address 9 --session
hengyang  2034  1952  0 15:47 ?        00:00:00 [fcitx] <defunct>
hengyang  2039     1  0 15:47 ?        00:00:00 /usr/bin/fcitx
hengyang  2045     1  0 15:47 ?        00:00:00 //bin/dbus-daemon --fork --print-pid 9 --print-address 11 --config-file /usr/share/fcitx/dbus/daemon.conf
hengyang  2049     1  0 15:47 ?        00:00:00 /usr/lib/dconf/dconf-service
hengyang  2055     1  0 15:47 ?        00:00:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-v5sor4ZFbz,guid=1c3342a83058106bd692ca5b547a5b0d 2045
hengyang  2065  1952  0 15:47 ?        00:00:00 /usr/bin/mate-settings-daemon
hengyang  2067  1952  1 15:47 ?        00:00:01 marco
hengyang  2073     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfsd
hengyang  2078     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
hengyang  2080  1952  0 15:47 ?        00:00:00 mate-panel
hengyang  2093     1  0 15:47 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     2095     1  0 15:47 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
hengyang  2098  1952  0 15:47 ?        00:00:00 /bin/sh /usr/bin/startcaja
hengyang  2103     1  2 15:47 ?        00:00:02 python /usr/lib/linuxmint/mintMenu/mintMenu.py
hengyang  2105     1  0 15:47 ?        00:00:00 /usr/lib/mate-panel/wnck-applet
hengyang  2109     1  0 15:47 ?        00:00:00 /usr/lib/mate-panel/clock-applet
hengyang  2111     1  0 15:47 ?        00:00:00 /usr/lib/mate-panel/notification-area-applet
hengyang  2145     1  0 15:47 ?        00:00:00 syndaemon -i 0.5 -k
hengyang  2147     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2152     1  0 15:47 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
hengyang  2184     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
hengyang  2189     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
hengyang  2193     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
hengyang  2232  2098  0 15:47 ?        00:00:00 caja -n
hengyang  2233  1952  0 15:47 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
hengyang  2235  1952  0 15:47 ?        00:00:00 mate-volume-control-applet
hengyang  2242  1952  1 15:47 ?        00:00:01 /usr/lib/vino/vino-server --sm-disable
hengyang  2243  1952  0 15:47 ?        00:00:00 nm-applet
hengyang  2244  1952  0 15:47 ?        00:00:00 mate-screensaver
hengyang  2248  1952  0 15:47 ?        00:00:00 mate-power-manager
hengyang  2251  1952  0 15:47 ?        00:00:00 /usr/lib/x86_64-linux-gnu/polkit-mate-authentication-agent-1
hengyang  2262     1  0 15:47 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
hengyang  2268  2262  0 15:47 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
hengyang  2272     1  0 15:47 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
root      2283     1  0 15:47 ?        00:00:00 /usr/lib/upower/upowerd
hengyang  2287     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.11 /org/gtk/gvfs/exec_spaw/0
root      2327     1  0 15:47 ?        00:00:00 /usr/sbin/system-tools-backends
root      2343     1  0 15:47 ?        00:00:00 /usr/bin/perl /usr/share/system-tools-backends-2.0/scripts/SystemToolsBackends.pl -m SMBConfig
root      2344     1  0 15:47 ?        00:00:00 /usr/bin/perl /usr/share/system-tools-backends-2.0/scripts/SystemToolsBackends.pl -m NFSConfig
hengyang  2444     1  0 15:47 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
